,source,target,weight
0,Delhi,Bhubaneswar,{'weight': 1}
1,Delhi,Gautam Buddha Nagar,{'weight': 1}
2,Delhi,Bengaluru,{'weight': 11}
3,Delhi,Kalyan,{'weight': 1}
4,Delhi,Greater Ahmedabad Area,{'weight': 1}
5,Delhi,Jamshedpur,{'weight': 1}
6,Delhi,Bangalore Urban district,{'weight': 1}
7,Delhi,Lucknow,{'weight': 1}
8,Delhi,Mohali district,{'weight': 2}
9,Delhi,Trivandrum,{'weight': 1}
10,Delhi,Indore,{'weight': 1}
11,Delhi,Coimbatore,{'weight': 2}
12,Delhi,Chennai,{'weight': 9}
13,Delhi,Pune/Pimpri-Chinchwad Area,{'weight': 3}
14,Delhi,Chandigarh,{'weight': 2}
15,Delhi,Hyderabad,{'weight': 10}
16,Delhi,Pimpri Chinchwad,{'weight': 1}
17,Delhi,Gurgaon,{'weight': 2}
18,Delhi,Bhopal,{'weight': 1}
19,Delhi,Patna,{'weight': 1}
20,Delhi,Greater Coimbatore Area,{'weight': 1}
21,Delhi,Greater Hyderabad Area,{'weight': 1}
22,Delhi,Sriperumbudur,{'weight': 1}
23,Delhi,Srinagar,{'weight': 1}
24,Delhi,Ahmedabad,{'weight': 3}
25,Delhi,Vadodara,{'weight': 1}
26,Delhi,Greater Delhi Area,{'weight': 4}
27,Delhi,Dehradun,{'weight': 3}
28,Delhi,Navi Mumbai,{'weight': 5}
29,Delhi,Pune,{'weight': 9}
30,Delhi,Ghaziabad,{'weight': 1}
31,Delhi,Vishakhapatnam,{'weight': 3}
32,Delhi,Mumbai Metropolitan Region,{'weight': 2}
33,Delhi,Rajkot,{'weight': 2}
34,Delhi,Ludhiana,{'weight': 1}
35,Delhi,Amritsar,{'weight': 1}
36,Delhi,Mangaluru,{'weight': 1}
37,Delhi,Alipur,{'weight': 1}
38,Delhi,Kanpur,{'weight': 1}
39,Delhi,Gurugram,{'weight': 10}
40,Delhi,Surat,{'weight': 1}
41,Delhi,Kochi,{'weight': 3}
42,Delhi,Faridabad,{'weight': 1}
43,Delhi,Jammu,{'weight': 1}
44,Delhi,Greater Chennai Area,{'weight': 1}
45,Delhi,Bengaluru East,{'weight': 1}
46,Delhi,Jalandhar,{'weight': 1}
47,Delhi,Mumbai,{'weight': 9}
48,Delhi,Sahibzada Ajit Singh Nagar,{'weight': 1}
49,Delhi,Vijayawada,{'weight': 2}
50,Delhi,Bhubaneshwar,{'weight': 1}
51,Delhi,Thane,{'weight': 2}
52,Delhi,Nagpur,{'weight': 2}
53,Delhi,Visakhapatnam,{'weight': 1}
54,Delhi,Thiruvananthapuram,{'weight': 1}
55,Delhi,Agra,{'weight': 1}
56,Delhi,Ernakulam,{'weight': 1}
57,Delhi,Greater Bengaluru Area,{'weight': 5}
58,Delhi,Noida,{'weight': 10}
59,Delhi,Kolkata,{'weight': 2}
60,Delhi,Greater Kolkata Area,{'weight': 2}
61,Delhi,Jaipur,{'weight': 3}
62,Delhi,Kozhikode,{'weight': 1}
63,Delhi,New Delhi,{'weight': 8}
64,Delhi,Bangalore Urban,{'weight': 8}
65,Delhi,Greater Nagpur Area,{'weight': 1}
66,New Delhi,Bhubaneswar,{'weight': 1}
67,New Delhi,Gautam Buddha Nagar,{'weight': 1}
68,New Delhi,Bengaluru,{'weight': 12}
69,New Delhi,Kalyan,{'weight': 1}
70,New Delhi,Greater Ahmedabad Area,{'weight': 1}
71,New Delhi,Jamshedpur,{'weight': 1}
72,New Delhi,Bangalore Urban district,{'weight': 1}
73,New Delhi,Lucknow,{'weight': 1}
74,New Delhi,Mohali district,{'weight': 2}
75,New Delhi,Trivandrum,{'weight': 1}
76,New Delhi,Indore,{'weight': 1}
77,New Delhi,Coimbatore,{'weight': 1}
78,New Delhi,Chennai,{'weight': 6}
79,New Delhi,Pune/Pimpri-Chinchwad Area,{'weight': 3}
80,New Delhi,Chandigarh,{'weight': 2}
81,New Delhi,Hyderabad,{'weight': 9}
82,New Delhi,Pimpri Chinchwad,{'weight': 1}
83,New Delhi,Gurgaon,{'weight': 2}
84,New Delhi,Bhopal,{'weight': 1}
85,New Delhi,Patna,{'weight': 1}
86,New Delhi,Greater Coimbatore Area,{'weight': 1}
87,New Delhi,Greater Hyderabad Area,{'weight': 1}
88,New Delhi,Sriperumbudur,{'weight': 1}
89,New Delhi,Srinagar,{'weight': 1}
90,New Delhi,Raipur,{'weight': 1}
91,New Delhi,Ahmedabad,{'weight': 5}
92,New Delhi,Vadodara,{'weight': 1}
93,New Delhi,Greater Delhi Area,{'weight': 4}
94,New Delhi,Dehradun,{'weight': 2}
95,New Delhi,Navi Mumbai,{'weight': 2}
96,New Delhi,Pune,{'weight': 9}
97,New Delhi,Ghaziabad,{'weight': 1}
98,New Delhi,Silao,{'weight': 1}
99,New Delhi,Vishakhapatnam,{'weight': 3}
100,New Delhi,Mumbai Metropolitan Region,{'weight': 2}
101,New Delhi,Rajkot,{'weight': 2}
102,New Delhi,Ludhiana,{'weight': 1}
103,New Delhi,Amritsar,{'weight': 1}
104,New Delhi,Mangaluru,{'weight': 1}
105,New Delhi,Kanpur,{'weight': 1}
106,New Delhi,Gurugram,{'weight': 9}
107,New Delhi,Surat,{'weight': 1}
108,New Delhi,Faridabad,{'weight': 2}
109,New Delhi,Kochi,{'weight': 1}
110,New Delhi,Jammu,{'weight': 1}
111,New Delhi,Greater Chennai Area,{'weight': 1}
112,New Delhi,Jalandhar,{'weight': 1}
113,New Delhi,Mumbai,{'weight': 8}
114,New Delhi,Sahibzada Ajit Singh Nagar,{'weight': 1}
115,New Delhi,Vijayawada,{'weight': 1}
116,New Delhi,Bhubaneshwar,{'weight': 1}
117,New Delhi,Thane,{'weight': 1}
118,New Delhi,Nagpur,{'weight': 1}
119,New Delhi,Visakhapatnam,{'weight': 1}
120,New Delhi,Thiruvananthapuram,{'weight': 1}
121,New Delhi,Agra,{'weight': 1}
122,New Delhi,Ernakulam,{'weight': 1}
123,New Delhi,Greater Bengaluru Area,{'weight': 4}
124,New Delhi,Noida,{'weight': 8}
125,New Delhi,Kolkata,{'weight': 1}
126,New Delhi,Greater Kolkata Area,{'weight': 1}
127,New Delhi,Jaipur,{'weight': 3}
128,New Delhi,Kozhikode,{'weight': 1}
129,New Delhi,Bangalore Urban,{'weight': 7}
130,New Delhi,Greater Nagpur Area,{'weight': 1}
131,Greater Bengaluru Area,Bhubaneswar,{'weight': 1}
132,Greater Bengaluru Area,Gautam Buddha Nagar,{'weight': 1}
133,Greater Bengaluru Area,Bengaluru,{'weight': 11}
134,Greater Bengaluru Area,Kalyan,{'weight': 1}
135,Greater Bengaluru Area,Greater Ahmedabad Area,{'weight': 1}
136,Greater Bengaluru Area,Jamshedpur,{'weight': 1}
137,Greater Bengaluru Area,Bangalore Urban district,{'weight': 1}
138,Greater Bengaluru Area,Lucknow,{'weight': 1}
139,Greater Bengaluru Area,Mohali district,{'weight': 1}
140,Greater Bengaluru Area,Trivandrum,{'weight': 1}
141,Greater Bengaluru Area,Indore,{'weight': 1}
142,Greater Bengaluru Area,Coimbatore,{'weight': 3}
143,Greater Bengaluru Area,Chennai,{'weight': 6}
144,Greater Bengaluru Area,Pune/Pimpri-Chinchwad Area,{'weight': 2}
145,Greater Bengaluru Area,Chandigarh,{'weight': 1}
146,Greater Bengaluru Area,Hyderabad,{'weight': 7}
147,Greater Bengaluru Area,Pimpri Chinchwad,{'weight': 1}
148,Greater Bengaluru Area,Gurgaon,{'weight': 3}
149,Greater Bengaluru Area,Bhopal,{'weight': 1}
150,Greater Bengaluru Area,Patna,{'weight': 1}
151,Greater Bengaluru Area,Greater Coimbatore Area,{'weight': 1}
152,Greater Bengaluru Area,Greater Hyderabad Area,{'weight': 1}
153,Greater Bengaluru Area,Sriperumbudur,{'weight': 1}
154,Greater Bengaluru Area,Srinagar,{'weight': 1}
155,Greater Bengaluru Area,Ahmedabad,{'weight': 3}
156,Greater Bengaluru Area,Vadodara,{'weight': 1}
157,Greater Bengaluru Area,Greater Delhi Area,{'weight': 1}
158,Greater Bengaluru Area,Dehradun,{'weight': 1}
159,Greater Bengaluru Area,Navi Mumbai,{'weight': 3}
160,Greater Bengaluru Area,Pune,{'weight': 6}
161,Greater Bengaluru Area,Ghaziabad,{'weight': 2}
162,Greater Bengaluru Area,Vishakhapatnam,{'weight': 2}
163,Greater Bengaluru Area,Mumbai Metropolitan Region,{'weight': 1}
164,Greater Bengaluru Area,Rajkot,{'weight': 2}
165,Greater Bengaluru Area,Ludhiana,{'weight': 1}
