industry,City,CityID,IndustryID,cluster
 IT Services and IT Consulting,Delhi,18,42,1
 IT Services and IT Consulting,New Delhi,55,42,0
 IT Services and IT Consulting,Greater Bengaluru Area,26,42,1
 Telecommunications,Gurugram,34,92,2
 IT Services and IT Consulting,Bengaluru,8,42,1
 Renewable Energy Semiconductor Manufacturing,Gurugram,34,78,2
 Market Research,Noida,56,56,0
 IT Services and IT Consulting,Hyderabad,35,42,0
 IT Services and IT Consulting,Kolkata,44,42,0
 Technology Information and Internet,Bengaluru,8,91,2
 IT Services and IT Consulting,Gurugram,34,42,0
 Pharmaceutical Manufacturing,Bengaluru,8,72,2
 Information Technology & Services,Greater Bengaluru Area,26,45,1
 Human Resources Services,Pune,59,41,0
 IT Services and IT Consulting,Chennai,14,42,1
 IT Services and IT Consulting,Pune,59,42,0
 Staffing and Recruiting,Mumbai,51,90,2
 Business Consulting and Services,Mumbai,51,15,0
 Information Technology & Services,Hyderabad,35,45,0
 IT Services and IT Consulting,Noida,56,42,0
 Information Services,Bengaluru,8,44,1
 Software Development,Bengaluru,8,87,2
 Information Technology & Services,Delhi,18,45,1
 Information Technology & Services,Pune,59,45,0
 IT Services and IT Consulting,Mumbai,51,42,0
 Business Consulting and Services,Hyderabad,35,15,1
 Business Consulting and Services,Bengaluru,8,15,1
 Financial Services,Pune,59,34,0
 IT Services and IT Consulting,Mumbai Metropolitan Region,52,42,0
 IT Services and IT Consulting,Bhopal,10,42,1
 IT Services and IT Consulting,Surat,67,42,0
 IT Services and IT Consulting,Jaipur,37,42,0
 IT Services and IT Consulting,Chandigarh,13,42,1
 Information Services,Delhi Cantonment,19,44,1
 Airlines and Aviation,Bengaluru,8,2,1
 Outsourcing and Offshoring Consulting,Bengaluru,8,68,2
 Human Resources,Gurgaon,33,40,1
 IT Services and IT Consulting,Nagpur,53,42,0
 IT Services and IT Consulting,Bangalore Urban,6,42,1
 Software Development,Pune,59,87,2
 Software Development,Hyderabad,35,87,2
 IT Services and IT Consulting,Ahmedabad,1,42,1
 Government Administration,Delhi,18,37,1
 Human Resources Services,Bangalore Urban,6,41,1
 IT Services and IT Consulting,Kalyan,41,42,0
 Technology Information and Internet,Greater Bengaluru Area,26,91,2
 IT Services and IT Consulting,Ludhiana,47,42,0
 Market Research,Bengaluru,8,56,1
 IT Services and IT Consulting,Amritsar,4,42,1
 IT Services and IT Consulting,Patna,57,42,0
 Financial Services,Noida,56,34,0
 IT Services and IT Consulting,Thiruvananthapuram,69,42,0
 Information Technology & Services,Bengaluru,8,45,1
 Retail,Bangalore Urban,6,81,2
 Staffing and Recruiting,Bengaluru,8,90,2
 Apparel & Fashion,Mumbai,51,3,0
 Retail Groceries,Bengaluru,8,83,2
 Retail,Bengaluru,8,81,2
 Information Technology & Services,Chennai,14,45,1
 Software Development,Chennai,14,87,2
 Civil Engineering,Bengaluru,8,16,1
 Telecommunications,Kochi,43,92,2
 Software Development,Bangalore Urban,6,87,2
 Software Development,Greater Bengaluru Area,26,87,2
 Advertising Services,Bengaluru,8,1,1
 Staffing and Recruiting,Pune,59,90,2
 Media and Telecommunications,Chennai,14,59,1
 Human Resources Services,Mumbai,51,41,0
 Non-profit Organizations,Pune,59,65,0
 Banking,Mumbai Metropolitan Region,52,9,0
 Internet Marketplace Platforms,Delhi,18,48,1
 Human Resources Services,Chennai,14,41,1
 Financial Services,Mumbai,51,34,0
 Research Services,Bengaluru,8,80,2
 Oil and Gas,Indore,36,66,2
 Information Technology & Services,Pune/Pimpri-Chinchwad Area,60,45,0
 Financial Services,Hyderabad,35,34,0
 IT Services and IT Consulting,Kochi,43,42,0
 Business Consulting and Services,Bangalore Urban,6,15,1
 Business Consulting and Services,Dehradun,17,15,1
 Technology Information and Internet,Noida,56,91,2
 Software Development,Noida,56,87,2
 Semiconductors,Hyderabad,35,86,2
 Information Technology & Services,Bangalore Urban,6,45,1
 Staffing and Recruiting,Hyderabad,35,90,2
 Non-profit Organizations,Gurugram,34,65,2
 IT Services and IT Consulting,Greater Hyderabad Area,30,42,1
 Software Development,Nagpur,53,87,2
 Spectator Sports,Hyderabad,35,88,2
 IT Services and IT Consulting,Lucknow,46,42,0
 Internet Publishing,Chennai,14,49,1
 Business Consulting and Services,Delhi,18,15,1
 Medical Device,Vapi,72,60,0
 Information Services,Hyderabad,35,44,0
 Information Technology & Services,Gurugram,34,45,0
 IT Services and IT Consulting,Sahibzada Ajit Singh Nagar,63,42,0
 Research Services,Mumbai,51,80,2
 Law Practice,Hyderabad,35,51,0
 Internet Publishing,Bangalore Urban,6,49,1
 Professional Training and Coaching,Bengaluru,8,75,2
 Personal Care Product Manufacturing,Mumbai,51,71,2
 Sporting Goods Manufacturing,Hyderabad,35,89,2
 Financial Services,Greater Bengaluru Area,26,34,1
 Advertising Services,Mumbai,51,1,0
 Technology Information and Internet,Hyderabad,35,91,2
 Maritime Transportation,Chennai,14,55,1
 Motor Vehicle Manufacturing,Chennai,14,63,2
 Telecommunications,Bengaluru,8,92,2
 Financial Services,Bengaluru,8,34,1
 Computers and Electronics Manufacturing,Mumbai,51,20,0
 Business Consulting and Services,Chennai,14,15,1
 Wireless Services,Bengaluru,8,101,2
 Outsourcing and Offshoring Consulting,Chennai,14,68,2
 Professional Training and Coaching,Hyderabad,35,75,2
 Advertising Services,Bangalore Urban,6,1,1
 Book and Periodical Publishing,Bengaluru,8,12,1
 Real Estate,Chennai,14,77,2
 Computer Networking Products,Bengaluru,8,18,1
 Staffing and Recruiting,Noida,56,90,2
 Biotechnology Research,Gurgaon,33,10,1
 Book and Periodical Publishing,Gurugram,34,12,1
 Technology Information and Internet,Gurugram,34,91,2
 Pharmaceutical Manufacturing,Mumbai,51,72,2
 Outsourcing and Offshoring Consulting,Pune,59,68,0
 Entertainment Providers,Greater Bengaluru Area,26,31,1
 IT Services and IT Consulting,Coimbatore,15,42,1
 Marketing Services,Mumbai,51,57,0
 Information Technology & Services,Noida,56,45,0
 Information Services,Pune,59,44,0
 Non-profit Organizations,Bengaluru,8,65,2
 Computer and Network Security,Bengaluru,8,19,1
 Wellness and Fitness Services,Bengaluru,8,98,2
 Translation and Localization,Pune,59,94,2
 Motor Vehicle Manufacturing,Noida,56,63,0
 Accounting,Mumbai,51,0,0
 Human Resources Services,Gurugram,34,41,0
 Research,Bengaluru,8,79,2
 Staffing and Recruiting,Chennai,14,90,2
 Information Technology & Services,Kozhikode,45,45,0
 Motor Vehicle Manufacturing,Bengaluru,8,63,2
 IT Services and IT Consulting,Gurgaon,33,42,0
 IT Services and IT Consulting,Rajkot,62,42,0
 Data Infrastructure and Analytics,Bengaluru,8,24,1
 IT Services and IT Consulting,Kanpur,42,42,0
 Hospitals and Health Care,Bengaluru,8,39,1
 Business Consulting and Services,Pune,59,15,0
 Financial Services,Chennai,14,34,1
 Insurance,Mumbai,51,46,0
 Staffing and Recruiting,Navi Mumbai,54,90,2
 Motor Vehicle Manufacturing,Pune,59,63,0
 Industrial Machinery Manufacturing,Chandigarh,13,43,1
 Information Services,Chennai,14,44,1
 Financial Services,Bangalore Urban,6,34,1
 IT Services and IT Consulting,Dehradun,17,42,1
 IT Services and IT Consulting,Pune/Pimpri-Chinchwad Area,60,42,0
 Human Resources Services,Mumbai Metropolitan Region,52,41,0
 Technology Information and Internet,Pune,59,91,2
 Retail Office Equipment,Mumbai,51,84,2
 IT Services and IT Consulting,Pimpri Chinchwad,58,42,0
 IT Services and IT Consulting,Indore,36,42,0
 Market Research,Pune,59,56,0
 Information Technology & Services,Mumbai,51,45,0
 Computer and Network Security,Greater Bengaluru Area,26,19,1
 Computers and Electronics Manufacturing,Bengaluru,8,20,1
 Wireless Services,Chennai,14,101,2
