industry,City,Cluster
 IT Services and IT Consulting,Delhi,1
 Information Technology & Services,Delhi,1
 Government Administration,Delhi,1
 Internet Marketplace Platforms,Delhi,1
 Business Consulting and Services,Delhi,1
 Wellness and Fitness Services,Delhi,1
 Financial Services,Delhi,1
 Technology Information and Internet,Delhi,1
 E-learning,Delhi,1
 Education,Delhi,1
 Staffing and Recruiting,Delhi,1
 Primary and Secondary Education,Delhi,1
 Telecommunications,Delhi,1
 Higher Education,Delhi,1
 Online Audio and Video Media,Delhi,1
 Human Resources Services,Delhi,1
 Software Development,Delhi,1
 IT Services and IT Consulting,New Delhi,1
 Advertising Services,New Delhi,1
 Information Technology & Services,New Delhi,1
 Financial Services,New Delhi,1
 Staffing and Recruiting,New Delhi,1
 Higher Education,New Delhi,1
 Non-profit Organizations,New Delhi,1
 Human Resources Services,New Delhi,1
 Retail Office Equipment,New Delhi,1
 Motor Vehicle Manufacturing,New Delhi,1
 Education Administration Programs,New Delhi,1
 Wellness and Fitness Services,New Delhi,1
 Public Relations and Communications Services,New Delhi,1
 E-Learning Providers,New Delhi,1
 Medical Equipment Manufacturing,New Delhi,1
 Government Administration,New Delhi,1
 IT Services and IT Consulting,Greater Bengaluru Area,1
 Information Technology & Services,Greater Bengaluru Area,1
 Technology Information and Internet,Greater Bengaluru Area,1
 Software Development,Greater Bengaluru Area,1
 Financial Services,Greater Bengaluru Area,1
 Entertainment Providers,Greater Bengaluru Area,1
 Computer and Network Security,Greater Bengaluru Area,1
 Manufacturing,Greater Bengaluru Area,1
 Advertising Services,Greater Bengaluru Area,1
 Media Production,Greater Bengaluru Area,1
 Automation Machinery Manufacturing,Greater Bengaluru Area,1
 Civil Engineering,Greater Bengaluru Area,1
 Renewable Energy Semiconductor Manufacturing,Greater Bengaluru Area,1
 Hospitals and Health Care,Greater Bengaluru Area,1
 Pharmaceutical Manufacturing,Greater Bengaluru Area,1
 Telecommunications,Gurugram,1
 Renewable Energy Semiconductor Manufacturing,Gurugram,1
 IT Services and IT Consulting,Gurugram,1
 Non-profit Organizations,Gurugram,1
 Information Technology & Services,Gurugram,1
 Book and Periodical Publishing,Gurugram,1
 Technology Information and Internet,Gurugram,1
 Human Resources Services,Gurugram,1
 Financial Services,Gurugram,1
 Food and Beverage Manufacturing,Gurugram,1
 Business Consulting and Services,Gurugram,1
 Manufacturing,Gurugram,1
 Software Development,Gurugram,1
 E-Learning Providers,Gurugram,1
 Higher Education,Gurugram,1
 Banking,Gurugram,1
 Internet Publishing,Gurugram,1
 Staffing and Recruiting,Gurugram,1
 Transportation Logistics Supply Chain and Storage,Gurugram,1
 Outsourcing and Offshoring Consulting,Gurugram,1
 Advertising Services,Gurugram,1
 Computer Games,Gurugram,1
 Retail,Gurugram,1
 Marketing Services,Gurugram,1
 Real Estate,Gurugram,1
 Insurance,Gurugram,1
 Market Research,Gurugram,1
 Building Materials,Gurugram,1
 Accounting,Gurugram,1
 Travel Arrangements,Gurugram,1
 Personal Care Product Manufacturing,Gurugram,1
 IT Services and IT Consulting,Bengaluru,1
 Technology Information and Internet,Bengaluru,1
 Pharmaceutical Manufacturing,Bengaluru,1
 Information Services,Bengaluru,1
 Software Development,Bengaluru,1
 Business Consulting and Services,Bengaluru,1
 Airlines and Aviation,Bengaluru,1
 Outsourcing and Offshoring Consulting,Bengaluru,1
 Market Research,Bengaluru,1
 Information Technology & Services,Bengaluru,1
 Staffing and Recruiting,Bengaluru,1
 Retail Groceries,Bengaluru,1
 Retail,Bengaluru,1
 Civil Engineering,Bengaluru,1
 Advertising Services,Bengaluru,1
 Research Services,Bengaluru,1
 Professional Training and Coaching,Bengaluru,1
 Telecommunications,Bengaluru,1
 Financial Services,Bengaluru,1
 Wireless Services,Bengaluru,1
 Book and Periodical Publishing,Bengaluru,1
 Computer Networking Products,Bengaluru,1
 Non-profit Organizations,Bengaluru,1
 Computer and Network Security,Bengaluru,1
 Wellness and Fitness Services,Bengaluru,1
 Research,Bengaluru,1
 Motor Vehicle Manufacturing,Bengaluru,1
 Data Infrastructure and Analytics,Bengaluru,1
 Hospitals and Health Care,Bengaluru,1
 Computers and Electronics Manufacturing,Bengaluru,1
 Aviation & Aerospace,Bengaluru,1
 Human Resources,Bengaluru,1
 Consumer Services,Bengaluru,1
 Accounting,Bengaluru,1
 Human Resources Services,Bengaluru,1
 Appliances Electrical and Electronics Manufacturing,Bengaluru,1
 Banking,Bengaluru,1
 Blockchain Services,Bengaluru,1
 Medical Equipment Manufacturing,Bengaluru,1
 Automotive,Bengaluru,1
 Aviation and Aerospace Component Manufacturing,Bengaluru,1
 E-Learning Providers,Bengaluru,1
 Manufacturing,Bengaluru,1
 Medical and Diagnostic Laboratories,Bengaluru,1
 Food and Beverage Services,Bengaluru,1
 Biotechnology Research,Bengaluru,1
 Semiconductor Manufacturing,Bengaluru,1
 Transportation Logistics Supply Chain and Storage,Bengaluru,1
 Education Administration Programs,Bengaluru,1
 Media and Telecommunications,Bengaluru,1
 E-learning,Bengaluru,1
 Machinery Manufacturing,Bengaluru,1
 Computer Games,Bengaluru,1
 Environmental Services,Bengaluru,1
 Insurance,Bengaluru,1
 Textile Manufacturing,Bengaluru,1
 Market Research,Noida,1
 IT Services and IT Consulting,Noida,1
 Financial Services,Noida,1
 Technology Information and Internet,Noida,1
 Software Development,Noida,1
 Staffing and Recruiting,Noida,1
 Information Technology & Services,Noida,1
 Motor Vehicle Manufacturing,Noida,1
 Education Administration Programs,Noida,1
 Human Resources Services,Noida,1
 Education,Noida,1
 Professional Services,Noida,1
 Business Consulting and Services,Noida,1
 Higher Education,Noida,1
 Broadcast Media Production and Distribution,Noida,1
 Automation Machinery Manufacturing,Noida,1
 IT Services and IT Consulting,Hyderabad,1
 Information Technology & Services,Hyderabad,1
 Business Consulting and Services,Hyderabad,1
 Software Development,Hyderabad,1
 Financial Services,Hyderabad,1
 Semiconductors,Hyderabad,1
 Staffing and Recruiting,Hyderabad,1
 Spectator Sports,Hyderabad,1
 Information Services,Hyderabad,1
 Law Practice,Hyderabad,1
 Sporting Goods Manufacturing,Hyderabad,1
 Technology Information and Internet,Hyderabad,1
 Professional Training and Coaching,Hyderabad,1
 Retail,Hyderabad,1
 Wireless Services,Hyderabad,1
 Semiconductor Manufacturing,Hyderabad,1
 Computer and Network Security,Hyderabad,1
 Research Services,Hyderabad,1
 Advertising Services,Hyderabad,1
 Biotechnology Research,Hyderabad,1
 Telecommunications,Hyderabad,1
 Transportation Logistics Supply Chain and Storage,Hyderabad,1
 Human Resources Services,Hyderabad,1
 Computer Games,Hyderabad,1
 Motor Vehicle Manufacturing,Hyderabad,1
 Insurance,Hyderabad,1
 Non-profit Organizations,Hyderabad,1
 Higher Education,Hyderabad,1
 IT Services and IT Consulting,Kolkata,0
 Education Management,Kolkata,0
 Business Consulting and Services,Kolkata,0
 Human Resources Services,Pune,1
 IT Services and IT Consulting,Pune,1
 Information Technology & Services,Pune,1
 Financial Services,Pune,1
 Software Development,Pune,1
 Staffing and Recruiting,Pune,1
 Non-profit Organizations,Pune,1
 Outsourcing and Offshoring Consulting,Pune,1
 Information Services,Pune,1
 Translation and Localization,Pune,1
 Business Consulting and Services,Pune,1
 Motor Vehicle Manufacturing,Pune,1
 Technology Information and Internet,Pune,1
 Market Research,Pune,1
 Computer Networking Products,Pune,1
 Internet Publishing,Pune,1
 Movies Videos and Sound,Pune,1
 Advertising Services,Pune,1
 Telecommunications,Pune,1
 Farming,Pune,1
